field_name,occurrence_count,types,tables,positions,option_values
基础 - 全款/订金,14,formula:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#60; ✅✅136教练-NEWBIBLE_（Dcode)#10; ✅✅136-WHOLE-MASTERLIST【基础-高四】#26; ✅✅136-旧Backlog【基础-高四】#38; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#59; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#131; 🖊️🖊️136-基础FINAL MASTERLIST#85; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#2; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#80; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#52; 🖊️-136-高阶一-FINAL MASTERLIST#43; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#70; 🖊️-136-高阶二-Final Masterlist.#4; 🖊️-136-高阶二-【高阶二Backlog】Bible#36,
基础1call,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#2; ✅✅136教练-NEWBIBLE_（Dcode)#164; ✅✅136-WHOLE-MASTERLIST【基础-高四】#117; ✅✅136-旧Backlog【基础-高四】#17; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#104; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#129; 🖊️🖊️136-基础FINAL MASTERLIST#66; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#35; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#75; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#116; 🖊️-136-高阶一-FINAL MASTERLIST#108; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#76; 🖊️-136-高阶二-Final Masterlist.#99; 🖊️-136-高阶二-【高阶二Backlog】Bible#63,"Call; Call 136; Call 137; Call 137 下午才联系; Call 137-whatsapp讯息; Call 138; Call WhatsApp on 18-3 after 12pm; Call 下午; Call 明天12点后call; No; No Call; No Call
17/12/25报读过，健康不通过; YES; Yes; 日期：11/3/26 时间：5.40pm 位置：确认137; 日期：12/3/26 时间：2pm 位置：确认137
10/3- call 137 at 12/3 after lunch around 2pm; 日期：17/3/26 时间：7pm 位置：海星沟通参与不到136，待确认之后
日期：6/3/26 时间：3.54pm 位置：下星期一海星才能确定他136的安排是否ok，说有可能性会要出国，不过下星期再确定
5/3- call 136
日期：11/2/26 时间：3.15pm 位置：通知136时间，待之后安排
日期：5/11/25 时间：8pm 位置：了解之后的时间中
日期：13/8/2025 时间：2pm 位置：海星时间还没确定，需要再安排后通知
13/8 - call cp131 at 2pm; 日期：19/3/26 时间：10.05pm 位置： 确认136
19/3- happy inform call 136; 日期：23/3/26 时间：11.45pm 位置：由于个人因素决定不当班此次的课程
日期：2/3/26 时间：4.15pm 位置：确认136
2/3- call 136 at afternoon
日期：20/1/26 时间：1pm 位置：27/1母亲是会拿cancer报告的，29/1需再去第二次并未确定时间，目前无法确定是否可全程参与课程，会再update
日期：23/12/25 时间：5.20pm 位置：确认135
日期：27/11/25 时间：4.50pm 位置：海星还没确定135，有跟emo沟通了要1月的时候才能确定135日期的安排
27/11- call 135
日期：11/11/25 时间：1.40pm 位置：12月不行，1月待定，再确认后给我们知道
11/11- call 135
日期：19/10/25 时间：11.34am 位置：确认报读，时间待确认
Call; 日期：5/3/26 时间：12pm 位置：待确认136时间安排，需在开课前几天才能确认安排; 日期：9/3/26 时间：3.20pm 位置：确认137
9/3- call 137 after lunch; 日期：9/3/26 时间：4.20pm 位置：确认137
日期：9/3/26 时间：3.20pm 位置：海星28/3全天是不能参与课程的，说是不能推，他说不清楚是要全程的
9/3- call after lunch"
基础2Call,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#130; ✅✅136教练-NEWBIBLE_（Dcode)#24; ✅✅136-WHOLE-MASTERLIST【基础-高四】#135; ✅✅136-旧Backlog【基础-高四】#48; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#100; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#65; 🖊️🖊️136-基础FINAL MASTERLIST#84; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#51; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#127; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#13; 🖊️-136-高阶一-FINAL MASTERLIST#56; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#5; 🖊️-136-高阶二-Final Masterlist.#15; 🖊️-136-高阶二-【高阶二Backlog】Bible#7,"136 A1 朋友可以一起; 137 A1 朋友可以一起; 19/3-  主要emo推荐，公司领导强烈推荐，希望在个人性格，方向，处事态度方面改善提升
*汉文海星不要沟通连报优惠，报到当场再说，不要感觉hardsell
after cp walk 6pm
无忧无虑的生活，我需要跳出自己的舒适圈和勇敢尝试新事物 . 环游世界，我需要保持我每一年有 300k 以上的年收入 . 可能我的目标会更远大，让我的生命中出现我真正想要和为之奋斗的东西; 19/3- 目前没有提升的想法，事业从事美容行业，是资深美容师; No; Yes; 海星觉得不能上可以之后退，客服没有回应; 确保，海星1call 说照现在看是没有问题"
"基础2Call Status
来的目的、急需解决的问题",14,text:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#42; ✅✅136教练-NEWBIBLE_（Dcode)#151; ✅✅136-WHOLE-MASTERLIST【基础-高四】#113; ✅✅136-旧Backlog【基础-高四】#92; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#130; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#35; 🖊️🖊️136-基础FINAL MASTERLIST#125; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#102; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#92; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#33; 🖊️-136-高阶一-FINAL MASTERLIST#73; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#64; 🖊️-136-高阶二-Final Masterlist.#6; 🖊️-136-高阶二-【高阶二Backlog】Bible#125,
基础C1-3信息,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#11; ✅✅136教练-NEWBIBLE_（Dcode)#196; ✅✅136-WHOLE-MASTERLIST【基础-高四】#130; ✅✅136-旧Backlog【基础-高四】#89; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#52; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#10; 🖊️🖊️136-基础FINAL MASTERLIST#108; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#86; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#98; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#134; 🖊️-136-高阶一-FINAL MASTERLIST#112; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#65; 🖊️-136-高阶二-Final Masterlist.#34; 🖊️-136-高阶二-【高阶二Backlog】Bible#105,已发出; 已回复
基础健康,14,text:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#122; ✅✅136教练-NEWBIBLE_（Dcode)#167; ✅✅136-WHOLE-MASTERLIST【基础-高四】#120; ✅✅136-旧Backlog【基础-高四】#103; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#57; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#54; 🖊️🖊️136-基础FINAL MASTERLIST#115; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#28; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#97; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#104; 🖊️-136-高阶一-FINAL MASTERLIST#8; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#101; 🖊️-136-高阶二-Final Masterlist.#96; 🖊️-136-高阶二-【高阶二Backlog】Bible#86,
基础学费,14,select:12; number:1; text:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#36; ✅✅136教练-NEWBIBLE_（Dcode)#137; ✅✅136-WHOLE-MASTERLIST【基础-高四】#30; ✅✅136-旧Backlog【基础-高四】#80; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#81; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#20; 🖊️🖊️136-基础FINAL MASTERLIST#56; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#11; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#2; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#47; 🖊️-136-高阶一-FINAL MASTERLIST#45; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#129; 🖊️-136-高阶二-Final Masterlist.#91; 🖊️-136-高阶二-【高阶二Backlog】Bible#134,"$16,300; $5000; 1,580; 12500; 13,300; 15800; 16300; 18900; 5,000; 500; 5000; 6800"
基础已进课室人数,14,formula:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#38; ✅✅136教练-NEWBIBLE_（Dcode)#70; ✅✅136-WHOLE-MASTERLIST【基础-高四】#48; ✅✅136-旧Backlog【基础-高四】#3; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#72; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#111; 🖊️🖊️136-基础FINAL MASTERLIST#14; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#30; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#94; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#92; 🖊️-136-高阶一-FINAL MASTERLIST#106; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#53; 🖊️-136-高阶二-Final Masterlist.#49; 🖊️-136-高阶二-【高阶二Backlog】Bible#97,
基础已进课室（KLCP),14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#85; ✅✅136教练-NEWBIBLE_（Dcode)#92; ✅✅136-WHOLE-MASTERLIST【基础-高四】#118; ✅✅136-旧Backlog【基础-高四】#101; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#78; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#72; 🖊️🖊️136-基础FINAL MASTERLIST#53; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#55; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#5; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#36; 🖊️-136-高阶一-FINAL MASTERLIST#74; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#43; 🖊️-136-高阶二-Final Masterlist.#134; 🖊️-136-高阶二-【高阶二Backlog】Bible#89,KLCP121; KLCP130; KLCP131; KLCP132; KLCP133; KLCP135; KLCP136; KLCP137; KLCP138; KLCP139; KLCP140
基础报读日期,14,datetime:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#131; ✅✅136教练-NEWBIBLE_（Dcode)#117; ✅✅136-WHOLE-MASTERLIST【基础-高四】#16; ✅✅136-旧Backlog【基础-高四】#132; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#138; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#77; 🖊️🖊️136-基础FINAL MASTERLIST#50; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#73; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#87; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#23; 🖊️-136-高阶一-FINAL MASTERLIST#62; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#56; 🖊️-136-高阶二-Final Masterlist.#39; 🖊️-136-高阶二-【高阶二Backlog】Bible#135,
基础确认当班,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#5; ✅✅136教练-NEWBIBLE_（Dcode)#37; ✅✅136-WHOLE-MASTERLIST【基础-高四】#137; ✅✅136-旧Backlog【基础-高四】#10; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#32; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#32; 🖊️🖊️136-基础FINAL MASTERLIST#88; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#117; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#19; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#108; 🖊️-136-高阶一-FINAL MASTERLIST#23; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#73; 🖊️-136-高阶二-Final Masterlist.#20; 🖊️-136-高阶二-【高阶二Backlog】Bible#108,KLCP136; KLCP137; 不当班; 健康不通过; 健康待审核; 待确认; 未接电话; 确认
基础确认期别,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#87; ✅✅136教练-NEWBIBLE_（Dcode)#18; ✅✅136-WHOLE-MASTERLIST【基础-高四】#109; ✅✅136-旧Backlog【基础-高四】#95; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#2; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#68; 🖊️🖊️136-基础FINAL MASTERLIST#93; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#14; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#131; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#44; 🖊️-136-高阶一-FINAL MASTERLIST#103; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#92; 🖊️-136-高阶二-Final Masterlist.#10; 🖊️-136-高阶二-【高阶二Backlog】Bible#111,KLCP121; KLCP130; KLCP131; KLCP132; KLCP133; KLCP135; KLCP136; KLCP137; KLCP138; KLCP139; KLCP140; Yes
基础转名额,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#48; ✅✅136教练-NEWBIBLE_（Dcode)#158; ✅✅136-WHOLE-MASTERLIST【基础-高四】#37; ✅✅136-旧Backlog【基础-高四】#33; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#42; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#23; 🖊️🖊️136-基础FINAL MASTERLIST#130; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#18; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#132; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#21; 🖊️-136-高阶一-FINAL MASTERLIST#11; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#68; 🖊️-136-高阶二-Final Masterlist.#32; 🖊️-136-高阶二-【高阶二Backlog】Bible#130,基础已消耗; 基础已退款
基础酒店人数,14,select:14,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136教练-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#143; ✅✅136教练-NEWBIBLE_（Dcode)#31; ✅✅136-WHOLE-MASTERLIST【基础-高四】#134; ✅✅136-旧Backlog【基础-高四】#127; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#36; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#25; 🖊️🖊️136-基础FINAL MASTERLIST#15; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#29; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#77; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#26; 🖊️-136-高阶一-FINAL MASTERLIST#79; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#133; 🖊️-136-高阶二-Final Masterlist.#51; 🖊️-136-高阶二-【高阶二Backlog】Bible#58,3; 4; 5; 6; Landmark; Yes
