source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
working table,DOE / declaration,✅A1-高一学员DOE挑战宣告,tblhpUwewl1r9LO7,20,2,0,家庭（数字）; 学员; 修改人; 指引负责人_; 学员15人际名单; 事业总完成%; 教练; Parent items; 3道结果（数字）; 最后更新时间; 事业1（数字）; 事业总宣告; 事业性质; 家庭总宣告; 学员名字（还没有链接）; 家庭对象; 家庭总%; 事业定义; 高阶一收获分享; 15人际完成,137高阶一DOE; vewOtZlL9z,
derived/reporting table,DOE / declaration,✅A2-高一学员DOE结果,tblk4pNxLrPD79UI,12,3,0,【2】事业证明; 3道 数据结果; 3道文字分享; 教练名字; 学员名字; 三到对象; 【1】事业数据; 事业【结果】; 家庭 1数据; 家庭文字分享; 修改人; 报告标题,Grid; 高阶一学员DOE挑战; vewtFhTDsT,
derived/reporting table,Scoring / grading,135【分数机制】,tblo2qhWfMMWKVPX,9,2,0,自动化_; Buddy分数机制; Buddy分数机制-分数; 战队-分数; 个人分数机制; 自动化; 个人分数机制-分数; 战队; 自动化 副本,135【分数机制】; vewzUmlf8V,
derived/reporting table,Reporting / result,135_Summary 分数机制,tbl1P7IsKH9wbvYi,22,2,0,总分数; 【B+战】总和; 第十二周【事，家，海】; 第四周【事，家，海】; 华语名字; 第十一周【事，家，海】; 海星【高阶二进课室】; 华语名字_; 第十周【事，家，海】; 第八周【事，家，海】; 第九周【事，家，海】; 海星1颗3C-5分; 战队; 第一周【事，家，海】; 第七周【事，家，海】; 海星【基础进课室】; 教练; 第二周【事，家，海】; 第六周【事，家，海】 副本; 第五周【事，家，海】,Summary; vew2hItQp2,
derived/reporting table,Scoring / grading,135.3-分数计算【Buddy+战队】,tbluI5EqHfPzDZos,29,10,0,138基础已进课室; 【】家庭（3对）; 【】事业（3对）; 【50】全员每日书面总结8pm之前发上来; 【50】最快完成家庭新反应的战队（每周）; 136基础已进课室; 【100】全员完成周计划表星期日10pm之前; 【】海星（3对）; 【每周】第二; 教练; 海星宣告; 【20】最快完成社服2+2的战队（total）; 【5】个人每日跟教练完成电话总结; 【50】海星进课室3班; 137基础已进课室; 【5】额外营养餐分享（每周最多3次）; 【30】最快完成当周（第二周）6颗海星宣告的战队; 【100】出席任何活动全员准时的战队（准时的定义-提早5分钟到场）; 【5】个人周计划表星期日10pm之前; 【B+战】总分数,BUDDY+战队; 战队; 4896战队; 梦想起航战队; 西装暴徒战队; vewOXO86eW; vewswo5gln; vewl8L6p90; vewuxFPw1t; vewYvvJh9T,
derived/reporting table,Scoring / grading,135.2-分数计算【个人】,tblzfRtfhF2nTcUp,96,4,0,家庭【第9周%】; 【社5】分数_; 【社8】分数_; 【事5】分数; .; 家庭【第5周%】; 家庭【第4周%】; 社服【结果7】; 【事6】分数; 【社6】分数_; 【总数】第10周; 事业【第9周】; 【社4】分数_; 2. 【分数-20分】海星进课室守则后 副本; 【社7】分数_; 家庭【第11周%】; 【社1】分数_; 教练; 战队 (1); 华语名字,H.总; 【第一-第四】; vew4WmrXdj; vewb6ftwsX,
working table,Working / data entry,感召Form,tblWoI3acI1AamTt,6,7,0,感召金【结果】; 附件【upload】; Total 【求和】; 日期; 教练; 学员,教练小组; 教练小组。。; 135感召金Form; .总; vewAjbFsRB; vewBpvCCxu; vewU4Nc5z9,
working table,Other,感召（个人）,tblx7ewB0C19U24K,6,7,0,✅; 文本 2; 华语名字; TOTAL {结果}; 文本; 教练,表格; 0-100; Form; 表格 3(dashboard_view); vewfQaP5Si; vew01s7kQl; vewOSwa5Ej,
working table,DOE / declaration,✅B1.1_【DOE数据】,tbl2QlcMi0Zv3u2N,67,16,0,【结果】已进课室; 140高阶二已进课室; 基础报读Mark有约; 家庭3-完成%; 138.高阶二已进课室; 社服总宣告; 家庭对象1; 家庭对象3; 【赢】社服Grade; 家庭2_（数据）; 家庭【2】反应总宣告; 事业3 完成%; 事业3-定义; 事业2 完成%; 非CP; 事业4（数据）; MYCP【确认当班】; Buddy; 139基础已进课室; 139基础确认,Summary_数据库; Summary_数据库_; 事业部门_; 家庭部门; 海星部门; 海星部门_基础确认; 社服部门; 表格 9(dashboard_view); 表格 11(dashboard_view); veweu5PUzd,
working table,DOE / declaration,✅B2.2_【DOE填or修改数据】,tblIbzA121VJbbvv,47,12,0,【家3验收】验收（教练）; 【事业证明照片】; 社服【结果】（不可修改）; 修改人 2; 战队_; 当天日期【必填】; 【社服温暖给予照片】; 【家3结果】家庭反应目前结果 副本; 【事3宣告】事业3总宣告; 最后更新时间 2; 【家1结果】家庭反应目前结果; 创造人; 【社服书面总结】; 【事2结果】事业2-结果; 开启人际关系新的可能性; 【事业备注】; 第几个周; 【家2验收】验收（教练）; 【社服结果-1】; 教练,B2.0_每日DOE结果报告; 总.DOE【改】; 【事业支柱】; 【家庭支柱】; 【社服支柱】; Happy基地--总.DOE【结果】; 梦想启航; vewx6K5BKi; vew9NUZMyq; vewx6KVzdk,
working table,Profile / roster,✅B3.1-【基础海星名单or位置】,tblaQR2q90eWaSOL,30,2,0,"基础已进课室（KLCP); 基础离开; 基础 - 全款/订金; 客户等级备注; 基础确认期别; 英文名字; 高阶一已进课室; 酒店费用; 基础确认当班; 膳食费用; EMO 华语名字; 序号; 学号; 定金; 余款; 基础学费; 高阶二已进课室 (A,B,C,D); 8%SST; SourceID; 华语名字",【外】团队数据; vewHzf2Zwx,
working table,DOE / declaration,✅B4.1_【每日宣告 or 每日总结】,tblyKb35Ql2igCvr,31,27,0,"8.Buddy 宣告 Buddy Decalation; 8.焦点内在外在干扰：3个以上的干扰>降低 Focus on internal and external interference: More than 3 interferences > Reduce; 4.海星宣告/人际结果 My Enrollment Declaration; 6.支柱队长宣告 Pillar Leader Declaration; 5.社服宣告 My Service Declaration; 宣告/总结书面总结 Select declaration/summary written summary; 修改人; 2.事业宣告 My Career Declaration; 教练; 3.家庭宣告 My Family Declaration; 3.【基于这个结果我真正的企图心/目的】My true intention/purpose based on this result; 第几周; 创造日期; 10.【总结】总结书面（可以upload2个以上）; 战队; 7.基于我的理想和目标，我的心态是什么？我的行为是什么？Based on my ideals and goals, what is my mindset? What are my actions?; 创造人; 每日宣告日期：; 9【过去行不通的选择和新的选择】Choices that didn't work in the past and new choices; 7.团队宣告 Team Declaration",每日宣告/总结📅日期：Form; 梦想启航宣告; 梦想启航晚上总结; 西装暴徒宣告; 西装暴徒总结; 4896宣告; 4896 总结; 【🔅每日宣告】; 【🌙每日总结】; 当天【🌙.每日宣告_Sheet】,
working table,Working / data entry,✅B5.1-【周计划表】,tblxBqWLU8y9wm5E,54,12,0,教练; B5-【家庭】3个-过去的选择 //现在的选择; 【家1】3.干扰出现-（怎么如何排除）【Family1】 3. Interference occurs - (How to eliminate it); A2.事业检测点; 【海1】对象名字+关系 【IR】Name & Relationship; 【家2】方案3//行动3 【Family2】 Plan 3 // Action 3; 【家1】方案1//行动1 【Family1】 Plan 1 // Action 1; 【家2】方案4//行动4 【Family2】 Plan 4 // Action 4; A5-【事】过去的选择 //现在的选择; 【家1】4.干扰出现-（怎么如何排除） 【Family1】 4. Interference occurs - (How to eliminate it); B.1.0【家庭】对象1; 【事】4.干扰出现--（怎么如何排除）【Career】 1. Interference occurs - (How to eliminate it); 【家2】3.干扰出现-（怎么如何排除）【Family2】 3. Interference occurs - (How to eliminate it); 【家1&2】心态1 【Family 1 & 2】Mindset 1; 【事】3.干扰出现--（怎么如何排除） 【Career】 1. Interference occurs - (How to eliminate it); 【家1&2】心态2 【Family 1 & 2】Mindset 2; 书面计划表; 【家1&2】心态3 【Family 1 & 2】Mindset 3; 【家1】1.干扰出现-（怎么如何排除） 【Family1】 1. Interference occurs - (How to eliminate it); 【家1】方案4//行动4 【Family1】 Plan 4 // Action 4,KLCP DOE Weekly Plan; 周计划表; 【学员】周计划; 周计划表Grid; 梦想启航; 日历; Grid 4; vewvy19rt2; vewg7HOEMS; vewlccZR4D,
working table,DOE / declaration,🔅【事业_1】个人每周事业数据 (NEW),tbl34f3icTkNdTMl,101,4,0,事业1 - 第12周（数据）; 事业3 - 第4周 完成%; 事业2 - 第6周 完成%; 事业2 - 第1周 完成%; 事业4 - 第8周 完成%; 事业1 - 第11周（数据）; 事业2 - 第11周（数据）; 事业3 - 第4周（数据）; 教练; 事业1 - 第7周 完成%; 事业2 - 第11周 完成%; 事业1 - 第6周 完成%; 事业1 - 第1周 完成%; 事业2 - 第2周 完成%; 事业3 - 第7周（数据）; 事业2 - 第4周 完成%; 事业1 - 第9周（数据）; 事业1-八仙占比; 事业3 八仙率占; 事业2 - 第8周 完成%,【事业】第一周-第10周; 事业 周 总结果; vewIsZTP2u; vewvH9HHeo,
derived/reporting table,Scoring / grading,分数标准,tblG9AOlYPUgQeqd,4,2,0,文本 2; 复选框; 文本; Parent items,表格; vewPmzSzAl,
working table,Profile / roster,✅教练名单（中心）,tblSek3NjCT9mNtr,11,2,0,男女; 中文全名 副本; 期别 112/116/128; 誓约（期别，名字，誓约）; 教练确定(中心）; 教练级别; 教练List; 娘家期别; SourceID; 英文名字 (as per IC); 中文全名,教练团资料; vewJRvJRlx,
derived/reporting table,Scoring / grading,01-ABC教练Grade,tblvAvHrGXA0PWxT,66,15,0,【分数标准】Mark有约; 小组总人数; 高阶三-四天数; 【高三公式】指引部门分数; 教练【家庭2】; 小组名字; A7.小组毕业率【分数】; 教练【事业】; Grade 位置; 结束时间【高三-四】; 教练【家庭1】宣告; 教练名字; 付出期别; 【分数标准】教练家庭 100% 50分 200% 80分; A11.小组宣告教练之路; 【分数标准】小组毕业分数; A2.【高阶二小组 进阶率-当班求和】; 【分数标准】教练合作度; 【分数标准】分数计算; 高阶一当班,教练GradeABC; 高一&高二进阶; 指引录音; 教练合作度+工作坊+Mark有约; 小组毕业+学员GradeABC+教练小组宣告; 教练DOE分数; 教练GradeABC 【结果】; Google; 表格 4(dashboard_view); vewAEn88Oz,
derived/reporting table,DOE / declaration,02-学员DOE ABC,tblPAeo33o3eV9A6,53,12,0,现行人数【团】【结果】; 高阶Mark【A】; B.【团】进阶率-总宣告; B.【团】进阶率-基础当班【总数】; .136确认当班; C3.社服 非CP; C.【事业总%】; 学员状态; 进课室【团队】【结果】; 家庭【%】; 已进课室【个人】【结果】; C2. 家庭1【结果】; 138确认当班.; C2. 家庭2【%】; 137进课室; 【总数】进课室; 【赢】C4.【达成率】【进课室海星】; 现行人数【团】【宣】; 【赢】Mark报读30%进度; 薪火宣告【赢】,学员ABC; 结果Grade; 学员ABC 【Grade位置】; 团队结果【keyin】; DOE结果【auto】; 表格 5(dashboard_view); vewQD1eggb; vew7tUYFft; vewDcjXYBx; vewt7IDzHj,
working table,Other,02.1-团队,tblNVbHwXe8F4OST,15,2,0,136进阶率【学员】; 【教】海星 总数; 基础报读Mark有约; 【教&学】总数; 现行当班人数; 当班【结果】; 137基础【学员】; 138基础【学员】; 文本; 【总数】进阶率; 137进阶率【学员】; 【学】海星 总数; 海星总宣告; 136基础【学员】; 138进阶率【学员】,表格; vewwS4B0eI,
legacy/archive table,Other,03-录音【copy】,tbldmGRXewUVXhyA,9,2,0,学员; 教练; 现在天数; 结果; 平均_1; total加起来; 指引; Total ; 分数,表格; vewx0UG4SR,
derived/reporting table,Reporting / result,✅✅137-WHOLE-MASTERLIST【基础-高四】,tblJk0y1Azx2Oub2,22,2,0,"基础已进课室人数; 结果期别; 高阶四已进课室人数; 基础已进课室+英文名字; 华语名字; 基础阶段教练; SourceID; 高阶二已进课室 (A,B,C,D); 高阶五已经课室; 全报; 基础离开; 高阶一已进课室人数; EMO 华语名字; 高阶一离开 (A,B,C,D); 基础已进课室（KLCP); 高阶二已进课室人数; 高阶一已进课室; 高阶二教练; 英文名字; 高阶一教练",❌Whole Masterlist(不能删&不能动任何东西）; vewmUjPeTV,
working table,Backlog / legacy / lifecycle,团队进阶高阶二守则后,tblJ1g3TiaJ6aCil,14,2,0,"SourceID; 基础已进课室+英文名字; 基础已进课室（KLCP); 高阶二已进课室人数; 基础已进课室人数; 结果期别; 字段 1; EMO期别; EMO 华语名字; 高阶一已进课室; 高阶二已进课室 (A,B,C,D); 全报; 字段 2; 华语名字",表格; vewT6JuwDG,
working table,DOE / declaration,✅A0-高一-10天宣告1,tblggbnqqYPyeyVM,15,2,0,中心Call时间 （星期几 + 几点am/pm); 学员名字（还没有链接）; 家庭对象1：; 总教备注; 华语名字; 事业性质; 事业给予什么价值：; 什么原因是小目标？：; 总教验收; 事业总宣告; 事业定义（赢的标准）; SourceID; 什么原因是这个对象？：; 指引负责人_; 教练,133高阶一宣告; vewrfnDezR,
working table,Other,数据表,tblnoBzRuEkiwxYw,3,1,0,文本; 查找引用; 查找引用 副本,表格,
