source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
derived/reporting table,Reporting / result,✅✅137-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】,tblxrqXORC252y3i,141,31,0,"高阶补款 (A,B,C,D); 杂费定金付费方式 (A,B,C,D); 基础确认期别; IC No; 年龄; 基础转名额; 高阶五已经课室; 高阶一酒店费用  (A,B,C,D); 紧急联系人（姓名、关系、电话）; 高阶二后离开(A,B,C,D); 高阶一C1-4信息  (A,B,C,D); 电话; 结果期别; 序号——; 高阶余款  (A,B,C,D); 基础C1-4信息/Account Check; 文字-1; 信念系统日期  (A,B,C,D); 高阶一1call(A,B,C,D); 行业性质",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account,
legacy/archive table,Class Bible / people source,✅137-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.,tbl7NpAsbFgaq5F8,141,31,0,"高阶一已进课室; 高阶二C1-3信息  (A,B,C,D); 高阶二卓越宣言表  (A,B,C,D); 行业性质; 高阶四已进课室; 补款; 文字-4; 高阶一C1-3信息  (A,B,C,D); 高阶一教练; 杂费定金付费方式_高二  (A,B,C,D); 基础酒店人数; 高阶一1 Call Status (A,B,C,D); 高阶二确认期别 (A,B,C,D); 电话; 高阶一问卷(A,B,C,D); 高阶学费  (A,B,C,D); 州; 基础1 Call Status; 2 Call Status /学员的位置  (A,B,C,D); 高阶一确认期别 (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account,
derived/reporting table,Reporting / result,🖊️🖊️137-基础FINAL MASTERLIST,tbl5S4jjCcHXmW1E,142,2,0,"华语名字; 英文名字; 高阶学费  (A,B,C,D); 生日日期; 高阶报读日期  (A,B,C,D); 8%SST; 高阶二膳食费用  (A,B,C,D); EMO 华语名字; 高阶二酒店费用  (A,B,C,D); EMO 英文名字; 基础2Call Status
来的目的、急需解决的问题; 信念系统当班期别 (A,B,C,D); 基础C1-4信息/Account Check; 年历; 基础1call; 邮政编号; 杂费定金  (A,B,C,D); 【报到】高阶一几点到; 高阶一1call(A,B,C,D); 基础已进课室+英文名字",❌Whole Masterlist(不能删&不能动任何东西）; vewcsiRQzZ,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️137-【基础守则离开】FINAL MASTERLIST.,tblOlkpT3sOEskBb,141,2,0,"高阶二后离开(A,B,C,D); 高阶二后离开原因; 余款; 备注; 高阶二已进课室人数; 序号——; 父记录; 8%SST; 市区; 高阶 - 全款/订金; 学号; 2 Call Status /学员的位置  (A,B,C,D); 基础已进课室（KLCP); 基础阶段教练; 高阶一2CalL (A,B,C,D); 高阶总费用 (A,B,C,D); 高阶-Invoice Name; 学员/教练; 高阶付费方式_1; 付费方式",❌Whole Masterlist(不能删&不能动任何东西）; vewvLZ4Iyl,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️137-【基础Backlog】FINAL MASTERLIST.,tblJV466rytWgfDl,141,2,0,"高阶SO/Transfer No. (A,B,C,D); 州; 序号——; 紧急联系人（姓名、关系、电话）; 报名时间段; 高阶二卓越宣言表  (A,B,C,D); 公司规模 (多少人); 高阶报读日期  (A,B,C,D); 基础已进课室（KLCP); EMO 英文名字; 2 Call Status /学员的位置  (A,B,C,D); 高阶付费方式 (A,B,C,D); 文字-2; 高阶二2Call  (A,B,C,D); 高阶一确认当班人数; 基础学费; 文字-4; 高阶二C1-4信息  (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); 高阶一C1-4信息  (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; vewxExKRom,
derived/reporting table,Backlog / legacy / lifecycle,🖊️137-高阶一-【高阶一Backlog】Final Masterlist.,tbligXyZyePExYlB,142,2,0,"婚姻; 基础报读日期; 高阶转名额; 地址; 高阶一已进课室; 高阶-Invoice Name; 高阶SO/Transfer No. (A,B,C,D); 高阶二2Call  (A,B,C,D); 高阶二后离开原因; 高阶一确认期别 (A,B,C,D); 课室内名单; 基础确认期别; 基础已进课室+英文名字; 高阶学费  (A,B,C,D); 州; 高阶二膳食费用  (A,B,C,D); 高阶二总费用  (A,B,C,D); 年收入; 基础C1-4信息/Account Check; 高阶三已进课室",❌Whole Masterlist(不能删&不能动任何东西）; vewHCD7knK,
derived/reporting table,Reporting / result,🖊️137-高阶一-FINAL MASTERLIST,tblqFoya6cXPHHfX,142,2,0,"高阶二C1-4信息  (A,B,C,D); 字段 1; 高阶一教练; 基础已进课室人数; 性别; 高阶二卓越宣言表  (A,B,C,D); 高阶SO/Transfer No. (A,B,C,D); 高阶五已经课室; 高阶二1 Call Status (A,B,C,D); 杂费定金付费方式 (A,B,C,D); 基础2Call; 孩子; 高阶三已进课室人数; 基础确认当班; 基础已进课室+英文名字; 基础1 Call Status; 高阶报读日期  (A,B,C,D); 高阶二1call  (A,B,C,D); 序号——; 高阶二后离开(A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; vewXDkApuq,
derived/reporting table,Backlog / legacy / lifecycle,🖊️137-高阶一-【守则后离开】Final Masterlist.,tblOb5ENS2SeCZhm,141,2,0,"高阶一教练; 高阶一已进课室; 备注; 高阶一问卷(A,B,C,D); 高阶-Invoice Name; 地址; 高阶二膳食费用  (A,B,C,D); 高阶二2Call  (A,B,C,D); 公司规模 (多少人); Mark有约意愿度; 余款; IC No; 高阶一离开 (A,B,C,D); 付费方式 (1); 高阶一来的目的、急需解决的问题  (A,B,C,D); 杂费定金补款  (A,B,C,D); 高阶一已进课室人数; 邮箱; 基础酒店人数; 公司名称",❌Whole Masterlist(不能删&不能动任何东西）; vew6u07Dtc,
working table,DOE / declaration,✅A0-高一-10天宣告,tbl3KxqZRNk04kC0,15,2,0,教练; 华语名字; 事业定义（赢的标准）; 事业总宣告; 什么原因是这个对象？：; SourceID; 事业性质; 指引负责人_; 家庭对象1：; 什么原因是小目标？：; 总教备注; 中心Call时间 （星期几 + 几点am/pm); 总教验收; 事业给予什么价值：; 学员名字（还没有链接）,133高阶一宣告; vew3RTFmi7,
working table,Class Bible / people source,🖊️-137-高阶二-【高阶二Backlog】Bible,tblCdKfsDHeKIGPi,141,2,0,"备注; 高阶一确认期别人数; 基础转名额; 高阶四已进课室; 文字-2; 行业性质; 高阶二后离开(A,B,C,D); 客户等级; 高阶付费方式_1; EMO期别; 基础C1-3信息; 邮箱; 基础酒店人数; 文字-5; 高阶二确认期别 (A,B,C,D); 文字-4; 性别; 高阶定金 (A,B,C,D); 备注-转海星/消耗; 杂费定金付费方式 (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; vewueJiRFH,
working table,DOE / declaration,【高二】事业成就表,tblYiwyTypVH0x9q,28,6,0,职位; 孩子; 性别; 序号——; 华语名字; Emo华语名字; 【事业1】宣告; 【事业2】定义; 学号; 【事业2】宣告; 年历; 行业性质; 【家庭1对象】; 公司名称; 高阶一教练; 基础阶段教练; Emo期别; 公司规模 (多少人); 年龄; 【事业1】-定义,【高二】事业成就表; 【高二】事业成就表 副本; 教练小组; vew2UFu2t3; vewVoDiyWI; vewbka8BL5,
working table,DOE / declaration,【高二】事业成就表 137,tblnAzjdc8YJpugk,28,3,0,公司名称; 性别; 【事业2】定义; 孩子; 年历; Lark【新收入】; 高阶一教练; 华语名字; 序号——; 英文名字; 职位; 年收入; 【事业1】-定义; Emo期别; 行业性质; 年龄; 【家庭1对象】; 基础已进课室+英文名字; 婚姻; 【事业1】宣告,【高二】事业成就表; 【高二】事业成就表 副本; 教练小组,
working table,DOE / declaration,✅高二工作坊DOE宣告（开班前）,tblonh66MDXiVbAX,29,2,0,教练; 年资历 (年) Work experience (Years); 每周监测点 Weekly Check Point; 赢的时间 Winning Time（136提早赢 Win-early）; 家庭关系从0-10分_; 什么原因想在的关系是这个分数; 海星宣告; 日期; 事业3 百分比; 事业1 百分比; 电子邮件 Email Address; 事业性质（行业）Career Type; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 事业2 百分比; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 事业3-宣告; 父记录; 收入 Income; 事业1-宣告定义(赢得标准）; 事业3-宣告目标,高阶二工作坊; vewj5NgBIf,
working table,DOE / declaration,【137高阶二DOE宣告】_ 137,tblXt8i66mGhTOoQ,27,1,0,家庭新反应对象1 Family Member1（名字/关系 Name and Relationship）; 教练小组; 日期; 家庭对你来说重要的是什么？多说一说，说到有体验。; 【事业1】百分比; 事业性质（行业）Career Type; 职位 Position; 赢的时间 赢的时间，12周200%以上; 【事业2】百分比 副本; 事业过往同期/同月/每年的结果证明; 事业愿景 Career Vision （焦点在外，创造价值的）; 事业1-宣告目标  Career Target（可计算检测的 Able to Calculate）; 家庭新反应对象2，对他来说重要的是什么？多说一说，聊到有体验。; 已经整理好6周赢100%的方案和障碍？; 【事业2】赢的标准---Unit 业绩 副本; 家庭愿景 Family Vision; 团长小组; 【事业1】赢的标准---Unit 业绩; 家庭新反应对象1，对他来说重要的是什么？多说一说，聊到有体验。; 【事业2】-宣告目标  Career Target（可计算检测的 Able to Calculate）,137宣告,
working table,DOE / declaration,✅135-高二工作坊DOE宣告（开班前）,tblVFU82PJSpItjW,29,2,0,教练; 事业2-宣告定义(赢得标准）; 公司名字 Company name; 每周监测点 Weekly Check Point; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 电子邮件 Email Address; 赢的时间 Winning Time（130提早赢 Win-early）; 事业1-宣告定义(赢得标准）; 华语名字; 事业3-宣告; 收入 Income; 复选框; 家庭关系从0-10分_; 事业1 百分比; 事业2 百分比; 什么原因想在的关系是这个分数; 事业3-宣告目标; 海星宣告; 父记录; 事业1 - 宣告目标  （数字）,KLCP135 DOE; vewfrEyycR,
derived/reporting table,Reporting / result,🔥-学员海星个人结果,tblhJBVPijGJaFII,5,2,0,文本; 行动; 教练; 学员; 查找引用,表格; vewj8V6i3e,
derived/reporting table,Reporting / result,🖊️-135-高阶二-Final Masterlist.,tblcMplDWcZKte7d,141,2,0,"高阶一确认期别人数; 高阶一确认期别 (A,B,C,D); 高阶一已进课室人数; 高阶SO/Transfer No. (A,B,C,D); 高阶二确认当班 (A,B,C,D); 备注-转海星/消耗; 高阶一确认当班人数; 付费方式 (1); 高阶一2CalL (A,B,C,D); 高阶二已进课室人数; 杂费定金补款  (A,B,C,D); 序号——; 文字-6; 杂费定金付费方式 (A,B,C,D); 高阶一1call(A,B,C,D); 性别; 高阶定金 (A,B,C,D); 基础已进课室+英文名字; 补款; 州",❌Whole Masterlist(不能删&不能动任何东西）; vewx2vvJj3,
working table,Other,数据表,tblxWeyqagdRMsi0,3,2,0,文本; 查找引用; 查找引用 副本,表格; vew1eBwcum,
