source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
working table,DOE / declaration,✅B4.1_【每日宣告 or 每日总结】,tblzOtvGJEOhmlDj,31,18,0,"7.团队宣告 Team Declaration; 2.诚实：这个结果我怎么弄的（Do）2. Honesty: How did I get this result? (Do); 5.【我新的决定 Be 4+5+6】5. My new decision: Be 4+5+6; 创造日期; 4.【反省】对照生活事情一模一样  【Self-reflection】Comparing it to real-life situations is exactly the same.; 6.【24小时要发生的结果 Have】; 8.焦点内在外在干扰：3个以上的干扰>降低 Focus on internal and external interference: More than 3 interferences > Reduce; 汇报今天完成的结果（事，家，海，社，团队，支柱，buddy）Report on today's achievements (tasks, family, sea, community, team, pillar, buddy).; 5.社服宣告 My Service Declaration; 第几周; 10.【总结】总结书面（可以upload2个以上）; 宣告/总结书面总结 Select declaration/summary written summary; 3.【基于这个结果我真正的企图心/目的】My true intention/purpose based on this result; 2.事业宣告 My Career Declaration; 总结书面; 1.誓约; 修改人; 创造人; 8.Buddy 宣告 Buddy Decalation; 9.今天要运用在4+5+6",每日宣告/总结📅日期：Form; 🐺战狼宣告; ⭐星耀宣告; 🐺战狼总结; ⭐星耀总结; 【🌙每日总结】; 【每日宣告】; 当天【🌙.每日宣告_Sheet】; 当天【🌙.每日总结_Sheet】; 昨天【🌙.每日总结_Sheet】,
working table,DOE / declaration,🔅【事业】个人每周事业数据 (NEW),tblA1PEw8LRTy07x,101,2,0,事业4 - 第5周（数据）; 事业2 - 第3周（数据）; 事业3 - 第3周（数据）; 第5周进展%; 事业3 - 第4周（数据）; 事业1 - 第12周 完成%; 事业3- 第5周 完成%; 事业1 - 第4周（数据）; 事业2总宣告; 事业3 - 第7周（数据）; 事业4 - 第8周 完成%; 事业4 - 第8周（数据） 副本 副本; 学员名字.; 事业1 - 第5周 完成%; 第6周进展%; 事业3 - 第5周（数据）; 第3周进展%; 事业1 - 第3周 完成%; 事业3 - 第9周（数据）; 事业1-八仙占比,【事业】第一周-第10周; 事业 周 总结果,
working table,Other,数据表,tblHhsIG2ByZENss,3,1,0,复选框; 文本; 文本 2,表格,
derived/reporting table,Scoring / grading,01-ABC教练Grade,tblOddlK8X7CU13Y,66,5,0,教练【事业】; A8.小组3大支柱; 小组名字; A11.小组宣告教练之路; 当教练【结果】; 指引部门; 教练【家庭1】宣告; 【分数标准】教练合作度; 分数机制; 【分数标准】小组毕业分数; 【高阶三】录音结果【结果】; 高阶一下车; A10.教练【家庭】位置; 【A1】开始时间【高阶二-高三】; 高阶二; 高阶一当班【人数】; A5.教练工作坊; 高阶一【总人数】; 【分数标准】高阶二进阶当班 分数计算; 【A2】高阶三-四天数,教练GradeABC; 教练GradeABC 副本; 教练GradeABC 【结果】; Google; 表格 4(dashboard_view),
derived/reporting table,DOE / declaration,02-学员DOE ABC _1,tblBVqVWnEnQWsG9,53,2,0,华语名字; B.【团】进阶率-基础当班【总数】; C2. 家庭1【结果】; 家庭【%】; 大型社服【赢】; 138确认当班; 137进课室.; C2. 家庭1宣告【高四】【结果】; 【赢】C2.【达成率】【家庭】高四 副本; C3.社服; 进课室 【团队】【总宣告】; 【赢】C4.【达成率】【进课室海星】; C2. 家庭2宣告【高四】【结果】; 【赢】海星总宣告【赢】; B.【团】进阶率-总宣告; .137确认当班; 【赢】Mark报读30%进度; 139确认当班.; 海星宣告; 家庭宣告【高阶三】,表格; 表格 2(dashboard_view),
working table,Other,02.1-团队数字_1,tblMpYPVdO7VuuAP,15,1,0,【学】海星 总数; 当班【结果】; 现行当班人数; 【教】海星 总数; 139.进阶率【学员】; 海星总宣告; .138基础【学员】; 【总数】进阶率; 高阶报读Mark有约; .139基础【学员】; 137.进阶率【学员】; 文本; .137基础【学员】; 【教&学】总数; 138.进阶率【学员】,表格,
legacy/archive table,Other,03-录音【copy】,tblD94P0jS12Dr1I,9,1,0,学员; 天数; 平均; 教练; Total ; Total_总; Percent; 指引; 分数,表格,
derived/reporting table,Reporting / result,✅✅136-WHOLE-MASTERLIST【基础-高四】,tblA9G9LEGfxaURi,18,1,0,"SourceID; 基础已进课室+英文名字; 基础离开; 基础已进课室（KLCP); 高阶一已进课室人数; 全报; EMO 华语名字; 【报到】高阶一几点到; 结果期别; 高阶一教练; 高阶二教练; 基础阶段教练; 高阶二已进课室人数; 基础已进课室人数; 高阶二已进课室 (A,B,C,D); 华语名字; 高阶一离开 (A,B,C,D); 高阶一已进课室",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Reporting / result,✅✅136-WHOLE-MASTERLIST【基础-高四】1,tblkm44fjxO5RVDb,26,1,0,"高阶三已进课室; 高阶四已进课室; 基础已进课室+英文名字; 高阶二已进课室 (A,B,C,D); 基础已进课室（KLCP); 基础阶段教练; 基础确认当班; 英文名字; 基础确认期别; 高阶一教练; 高阶一已进课室人数; 高阶二后离开原因; 高阶三已进课室人数; 高阶一离开 (A,B,C,D); 高阶二已进课室人数; 结果期别; EMO 华语名字; 高阶一已进课室; 高阶四已进课室人数; SourceID",❌Whole Masterlist(不能删&不能动任何东西）,
legacy/archive table,Reporting / result,✅✅135-WHOLE-MASTERLIST【基础-高四】,tbl10q2yOZg49bq8,18,1,0,"基础已进课室（KLCP); EMO 华语名字; 基础已进课室+英文名字; 高阶一教练; 高阶一已进课室; 高阶一已进课室人数; 华语名字; SourceID; 【报到】高阶二几点到; 【报到】高阶一几点到; 高阶二教练; 基础阶段教练; 结果期别; 高阶一离开 (A,B,C,D); 基础离开; 高阶二已进课室人数; 高阶二已进课室 (A,B,C,D); 基础已进课室人数",❌Whole Masterlist(不能删&不能动任何东西）,
working table,Backlog / legacy / lifecycle,团队进阶高阶二守则后,tblbAFgmAoRDKaag,14,1,0,"全报; SourceID; EMO 华语名字; 基础已进课室人数; EMO期别; 基础已进课室（KLCP); 高阶一已进课室; 结果期别; 高阶二已进课室人数; 高阶二已进课室 (A,B,C,D); 字段 2; 基础已进课室+英文名字; 字段 1; 华语名字",表格,
working table,Other,数据表 2,tbljb830c96wlSZl,2,1,0,文本; 文本 2,表格,
